 Lista de Imóveis da Caixa;;Data de geração:;24/03/2026;;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
;;;;;;;;;;;
8,44441E+12;ES ;ALEGRE ;CELINA ;RUA  PADRE HENRIQUE HUBEN, N. 126, ;318.000,00;318.000,00;0.00;Não;Casa, 0.00 de área total, 65.49 de área privativa, 204.33 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406418579
10209013;ES ;CACHOEIRO DE ITAPEMIRIM ;WALDIR FURTADO AMORIM ;RUA ALCEBÍADES JOSÉ SOBREIRA, N. 134a180 ;3.087.999,10;5.187.000,00;40.47;Não;Gleba Urbana, 0.00 de área total, 0.00 de área privativa, 20005.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10209013
10208964;ES ;CACHOEIRO DE ITAPEMIRIM ;WALDIR FURTADO AMORIM ;AVENIDA ARISTÓTELES MENICUCCI, N. 76 A 120 ;6.522.421,72;10.682.000,00;38.95;Não;Galpão, 0.00 de área total, 10480.15 de área privativa, 11602.38 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10208964
8,55551E+12;ES ;CACHOEIRO DE ITAPEMIRIM ;WALDIR FURTADO AMORIM ;RUA WILSON DALFIOR SANTIAGO, N. 11/23, Apto 408, TORRE B ;228.000,00;228.000,00;0.00;Não;Apartamento, 74.12 de área total, 56.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555512204309
8,44442E+12;ES ;CARIACICA ;PORTO DE CARIACICA ;RUA ALECRIM, N. 34, QD 40, LT 2 LOT PORTOBELLO ;96.592,92;163.000,00;40.75;Não;Casa, 55.90 de área total, 55.90 de área privativa, 247.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416247181
8,78771E+12;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 201, BL 03 ;166.163,34;201.000,00;17.34;Não;Apartamento, 60.45 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705056914
8,78771E+12;ES ;CARIACICA ;TUCUM ; R SAO PAULO APOSTOLO, N. SN, Apto 502, BL 05 ;256.593,08;256.593,08;0.00;Não;Apartamento, 60.59 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712111593
8,44441E+12;ES ;CARIACICA ;SAO BENEDITO ;RUA C, N. S/N, CS 01, QD 01, LT 09 ;170.000,00;170.000,00;0.00;Não;Casa, 59.10 de área total, 59.10 de área privativa, 240.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413657605
8,44443E+12;ES ;CARIACICA ;PROLAR ;RUA DOZE, N. 550, LT 41 QD 06 CS 02 ;181.332,86;160.000,00;0.00;Não;Casa, 115.02 de área total, 53.33 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425661190
8,78771E+12;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. SN, Apto 304, PAV 3 BL13 A5 VG 298 ;204.884,00;161.000,00;0.00;Não;Apartamento, 60.59 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711544666
1,4444E+12;ES ;GUARAPARI ;PRAIA DO MORRO ;AVENIDA CELSO BASTOS COUTO, N. 1152, Apto 101, PAV 02 TIPO 01 ;295.000,00;295.000,00;0.00;Não;Apartamento, 0.00 de área total, 50.54 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403949834
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
